reseña_id,libro_id,cliente_id,calificacion,comentario,fecha_reseña
401,321-4-64-493699-2,226,3,"Regular, algunas partes aburridas.",2022-07-03
402,202-1-70-754853-2,305,5,"Excelente libro, lo recomiendo totalmente.",2024-09-24
403,612-2-86-852897-8,231,1,"No me gustó nada, mal escrito.",2022-08-10
404,132-8-15-613682-4,228,5,"Una lectura imprescindible, muy bien escrito.",2024-09-14
405,999-4-45-744410-8,660,5,"Magnífico, superó mis expectativas.",2020-01-27
406,256-2-47-286394-4,633,3,"Correcto, aunque esperaba más profundidad.",2021-09-28
407,737-5-94-933078-9,545,1,"Muy malo, una pérdida de tiempo.",2024-04-05
408,795-5-15-122946-2,568,3,Tiene puntos interesantes pero no destaca.,2022-12-19
409,290-2-57-252045-1,671,5,"Excelente libro, lo recomiendo totalmente.",2024-03-30
410,496-7-82-741176-0,766,3,Tiene puntos interesantes pero no destaca.,2024-01-21
411,719-6-52-630266-7,397,1,"Muy malo, una pérdida de tiempo.",2022-07-22
412,778-1-89-863613-9,282,2,"Flojo, esperaba más del autor.",2024-04-05
413,254-7-80-095804-2,665,3,"Regular, algunas partes aburridas.",2024-02-25
414,673-2-38-368414-3,415,3,"Está bien, pero no me atrapó del todo.",2021-12-01
415,803-8-81-437104-9,451,2,"No lo recomendaría, bastante predecible.",2024-04-03
416,484-4-27-398356-3,771,2,Poco claro en algunos capítulos.,2020-08-17
417,874-0-50-133203-4,233,3,"Pasable, lectura ligera.",2023-01-01
418,102-2-52-677119-5,417,5,"Magnífico, superó mis expectativas.",2022-05-20
419,782-0-01-376835-2,606,4,Interesante y bien estructurado.,2022-12-20
420,202-1-70-754853-2,453,5,"Simplemente perfecto, gran autor.",2022-12-12
421,619-6-23-268625-0,639,5,De lo mejor que he leído últimamente.,2024-01-22
422,476-2-53-950111-8,342,5,De lo mejor que he leído últimamente.,2021-01-07
423,570-0-27-206345-5,313,2,No me convenció la trama.,2024-09-25
424,876-5-97-324605-4,266,4,"Cumple lo que promete, recomendable.",2025-04-01
425,160-3-28-889489-8,458,5,"Excelente libro, lo recomiendo totalmente.",2021-04-14
426,433-4-92-321243-8,474,3,"Está bien, pero no me atrapó del todo.",2023-04-17
427,911-3-92-823696-1,362,4,"Muy bueno, aunque esperaba un poco más.",2022-12-14
428,574-1-94-508906-8,383,5,"Excelente libro, lo recomiendo totalmente.",2023-05-07
429,741-5-86-795240-0,404,2,Poco claro en algunos capítulos.,2021-10-23
430,772-3-55-172748-8,744,1,No vale la pena leerlo.,2023-08-20
431,603-5-62-706105-3,220,1,Confuso y aburrido.,2023-06-13
432,106-1-44-529964-9,260,2,"Demasiado simple, le falta desarrollo.",2020-11-18
433,677-4-72-264085-4,698,1,No vale la pena leerlo.,2021-05-30
434,882-4-93-534001-5,687,5,"Una lectura imprescindible, muy bien escrito.",2022-12-21
435,152-3-85-897250-7,634,2,"Demasiado simple, le falta desarrollo.",2022-04-03
436,725-5-32-052851-9,609,3,"Pasable, lectura ligera.",2025-10-20
437,661-5-92-220976-5,324,2,No me convenció la trama.,2020-09-19
438,803-0-89-229064-9,222,5,"Simplemente perfecto, gran autor.",2022-07-31
439,128-1-47-143840-3,426,1,"Muy malo, una pérdida de tiempo.",2020-08-29
440,172-3-66-704171-9,270,1,Confuso y aburrido.,2020-10-17
441,481-7-55-253912-6,444,3,"Pasable, lectura ligera.",2022-05-27
442,681-3-56-362244-2,336,5,"Simplemente perfecto, gran autor.",2025-04-20
443,781-9-51-648497-5,685,4,Interesante y bien estructurado.,2021-01-21
444,203-4-47-650471-5,642,3,"Pasable, lectura ligera.",2024-08-10
445,718-0-45-591289-9,256,1,"Muy malo, una pérdida de tiempo.",2024-07-07
446,848-7-49-400926-9,312,2,No me convenció la trama.,2022-02-18
447,066-0-56-772136-9,660,2,"No lo recomendaría, bastante predecible.",2022-01-21
448,903-5-94-094294-4,674,2,"Flojo, esperaba más del autor.",2024-12-20
449,104-5-68-826342-1,301,1,No vale la pena leerlo.,2020-03-01
450,186-2-33-922071-4,443,2,"No lo recomendaría, bastante predecible.",2025-06-12
451,491-7-64-826148-8,419,4,"Muy bueno, aunque esperaba un poco más.",2021-11-05
452,271-9-18-993819-3,203,4,"Buena historia, bien desarrollada.",2025-02-06
453,677-5-27-071279-6,634,5,De lo mejor que he leído últimamente.,2021-09-26
454,537-0-62-728167-6,504,2,"Flojo, esperaba más del autor.",2020-09-06
455,726-0-21-318066-8,259,1,No vale la pena leerlo.,2025-05-06
456,399-5-43-161186-4,744,2,"Flojo, esperaba más del autor.",2025-09-11
457,008-9-21-963945-4,391,1,No vale la pena leerlo.,2020-10-05
458,466-9-44-733878-5,614,1,No vale la pena leerlo.,2022-10-05
459,242-7-42-078427-9,241,5,"Excelente libro, lo recomiendo totalmente.",2024-09-13
460,789-4-26-032003-8,779,5,"Magnífico, superó mis expectativas.",2022-12-04
461,901-4-30-974274-6,522,2,Poco claro en algunos capítulos.,2024-06-09
462,011-9-50-927115-3,508,4,"Buena historia, bien desarrollada.",2020-10-24
463,484-2-19-933083-6,670,5,"Simplemente perfecto, gran autor.",2021-02-13
464,004-2-54-882142-6,751,2,"Demasiado simple, le falta desarrollo.",2022-12-22
465,452-0-36-089411-9,558,1,"No me gustó nada, mal escrito.",2024-02-22
466,371-0-53-925906-6,362,4,"Buen libro, aunque con algunos altibajos.",2023-05-24
467,589-1-99-597465-1,209,5,"Magnífico, superó mis expectativas.",2021-02-28
468,322-7-75-213530-0,471,1,"Muy malo, una pérdida de tiempo.",2021-09-28
469,565-3-52-437795-7,489,5,"Una lectura imprescindible, muy bien escrito.",2023-11-05
470,136-2-33-470407-8,471,5,De lo mejor que he leído últimamente.,2022-10-25
471,908-4-66-845504-5,295,4,"Buena historia, bien desarrollada.",2020-06-29
472,165-6-04-945198-4,542,2,Poco claro en algunos capítulos.,2021-10-23
473,427-3-59-840705-6,765,4,"Buen libro, aunque con algunos altibajos.",2020-02-09
474,073-6-51-189394-6,278,2,"Demasiado simple, le falta desarrollo.",2020-05-27
475,792-5-17-333581-6,797,5,"Una lectura imprescindible, muy bien escrito.",2024-10-26
476,115-8-48-860080-5,243,3,"Correcto, aunque esperaba más profundidad.",2020-06-12
477,240-5-55-251774-3,416,2,"Flojo, esperaba más del autor.",2023-12-19
478,165-8-06-438551-0,617,5,"Una lectura imprescindible, muy bien escrito.",2022-08-27
479,958-7-30-549824-0,382,4,"Muy bueno, aunque esperaba un poco más.",2022-01-04
480,969-0-01-923315-8,622,2,Poco claro en algunos capítulos.,2021-10-14
481,627-7-65-725659-1,592,1,De los peores libros que he leído.,2022-06-30
482,182-9-91-269945-9,672,3,"Correcto, aunque esperaba más profundidad.",2022-07-21
483,092-8-26-164170-4,225,2,"No lo recomendaría, bastante predecible.",2023-09-06
484,903-2-38-876766-5,272,3,"Correcto, aunque esperaba más profundidad.",2025-09-17
485,426-8-98-807757-5,750,3,"Está bien, pero no me atrapó del todo.",2021-04-17
486,982-4-37-804704-4,383,5,"Magnífico, superó mis expectativas.",2020-06-05
487,936-0-79-848704-1,645,3,"Correcto, aunque esperaba más profundidad.",2024-11-22
488,867-4-16-073198-6,724,1,De los peores libros que he leído.,2022-02-17
489,511-0-96-745136-6,246,4,"Muy bueno, aunque esperaba un poco más.",2025-10-30
490,387-4-43-730535-2,402,3,"Pasable, lectura ligera.",2020-10-13
491,187-5-88-041403-7,522,1,Confuso y aburrido.,2025-09-08
492,054-8-56-257504-3,619,3,"Pasable, lectura ligera.",2023-04-26
493,468-1-38-933138-9,331,2,"No lo recomendaría, bastante predecible.",2024-04-01
494,221-8-16-981413-2,783,3,"Pasable, lectura ligera.",2020-01-02
495,731-3-40-377917-0,494,2,"No lo recomendaría, bastante predecible.",2023-08-12
496,035-5-99-673131-6,653,4,Interesante y bien estructurado.,2025-09-24
497,376-4-94-133098-1,374,1,Confuso y aburrido.,2025-10-12
498,790-3-36-759479-9,296,2,Poco claro en algunos capítulos.,2022-07-09
499,309-1-21-852734-9,351,1,"Muy malo, una pérdida de tiempo.",2022-09-29
500,334-0-97-055501-6,275,4,"Cumple lo que promete, recomendable.",2022-03-07
501,849-1-98-661329-2,707,4,Interesante y bien estructurado.,2021-08-27
502,794-7-38-347359-1,310,4,Interesante y bien estructurado.,2021-12-21
503,062-7-24-470996-6,676,1,No vale la pena leerlo.,2022-10-17
504,983-5-84-461777-7,668,2,"No lo recomendaría, bastante predecible.",2023-07-23
505,289-7-57-203143-7,717,4,"Buen libro, aunque con algunos altibajos.",2024-12-31
506,819-2-04-877067-9,687,4,"Buena historia, bien desarrollada.",2022-10-09
507,593-6-01-941270-9,734,4,Interesante y bien estructurado.,2023-01-29
508,863-2-31-026557-6,280,3,"Regular, algunas partes aburridas.",2023-01-17
509,176-6-35-215267-3,528,5,"Excelente libro, lo recomiendo totalmente.",2021-07-20
510,211-9-15-891268-9,437,4,Interesante y bien estructurado.,2022-05-26
511,145-4-56-350200-3,625,4,"Buena historia, bien desarrollada.",2025-03-23
512,143-8-27-646123-9,264,2,"No lo recomendaría, bastante predecible.",2024-05-14
513,209-5-54-093436-4,221,5,De lo mejor que he leído últimamente.,2025-05-07
